Name,Adress,Adress2,Zip,Grade,Score,Latitude,Longitude,Coordinates
Byington Vineyard And Winery,"366 Main St,Los Altos, Ca 94022","366 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,100,37.378222,-122.117486,"(37.378222,-122.117486)"
The Post,"395 Main St,Los Altos, Ca 94022","395 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,100,37.377679,-122.117409,"(37.377679,-122.117409)"
Village Pantry,"184 2Nd St,Los Altos, Ca 94022","184 2ND ST,LOS ALTOS, CA 94022",94022,Pass,100,37.378757,-122.117353,"(37.378757,-122.117353)"
Fairmeadow School - Food Service,"500 E Meadow Dr ,Palo Alto, Ca 94306","500 E MEADOW DR ,PALO ALTO, CA 94306",94306,Pass,98,37.422441,-122.117301,"(37.422441,-122.117301)"
Hiroshi 328,"328 Main St,Los Altos, Ca 94022","328 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,97,37.378369,-122.117197,"(37.378369,-122.117197)"
Baskin Robbins Ice Cream #143,"264 State St ,Los Altos, Ca 94022","264 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,100,37.379528,-122.117191,"(37.379528,-122.117191)"
Skip'S Place Pizza,"299 1St St ,Los Altos, Ca 94022","299 1ST ST ,LOS ALTOS, CA 94022",94022,Pass,98,37.377393,-122.117139,"(37.377393,-122.117139)"
Posh Bagel,"310 Main St ,Los Altos, Ca 94022","310 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,100,37.378442,-122.11705,"(37.378442,-122.11705)"
Standard Liquor,"303 1St St,Los Altos, Ca 94022","303 1ST ST,LOS ALTOS, CA 94022",94022,Pass,81,37.377138,-122.117029,"(37.377138,-122.117029)"
Charley Noodle & Grill,"244 State St,Los Altos, Ca 94022","244 STATE ST,LOS ALTOS, CA 94022",94022,Pass,95,37.379622,-122.116955,"(37.379622,-122.116955)"
Manresa Bread,"271 State St,Los Altos, Ca 94022","271 STATE ST,LOS ALTOS, CA 94022",94022,Pass,98,37.379131,-122.116924,"(37.379131,-122.116924)"
Asa Los Altos,"242 State St ,Los Altos, Ca 94022","242 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,95,37.379675,-122.116908,"(37.379675,-122.116908)"
Opa Authentic Greek Cuisine,"325 Main St ,Los Altos, Ca 94022","325 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,100,37.377936,-122.116902,"(37.377936,-122.116902)"
Draeger'S-Deli,"342 1St St ,Los Altos, Ca 94022","342 1ST ST ,LOS ALTOS, CA 94022",94022,Pass,85,37.376277,-122.116876,"(37.376277,-122.116876)"
Starbuck'S Coffee #571,"296 Main St,Los Altos, Ca 94022","296 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,90,37.378595,-122.116761,"(37.378595,-122.116761)"
Le Boulanger,"305 Main St,Los Altos, Ca 94022","305 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,90,37.378192,-122.116622,"(37.378192,-122.116622)"
Cafe Nur,"280 Main St,Los Altos, Ca 94022","280 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,100,37.378668,-122.116611,"(37.378668,-122.116611)"
The Pho Cabin,"200 State St ,Los Altos, Ca 94022","200 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,95,37.379822,-122.116605,"(37.379822,-122.116605)"
Urfa Bistro,"233 State St ,Los Altos, Ca 94022","233 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,92,37.379295,-122.116597,"(37.379295,-122.116597)"
Ristorante Tre Monti,"270 Main St ,Los Altos, Ca 94022","270 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,94,37.378725,-122.116499,"(37.378725,-122.116499)"
Egan Jr High School Snack Bar,"100 W Portola Av ,Los Altos, Ca 94022","100 W PORTOLA AV ,LOS ALTOS, CA 94022",94022,Pass,97,37.395753,-122.116471,"(37.395753,-122.116471)"
Bella Vita,"376 1St St,Los Altos, Ca 94022","376 1ST ST,LOS ALTOS, CA 94022",94022,Pass,100,37.375775,-122.116445,"(37.375775,-122.116445)"
Rick'S Cafe,"205 State St ,Los Altos, Ca 94022","205 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,79,37.37938,-122.116406,"(37.37938,-122.116406)"
Rustic House,"295 Main St,Los Altos, Ca 94022","295 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,92,37.37821,-122.11636,"(37.37821,-122.11636)"
Residence Inn By Marriott,"4460 El Camiino Real ,Los Altos, Ca 94022","4460 EL CAMIINO REAL ,LOS ALTOS, CA 94022",94022,Pass,100,37.401801,-122.116306,"(37.401801,-122.116306)"
Lozano Brushless Car Wash,"2690 W El Camino Real ,Mountain View, Ca 94040","2690 W EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,98,37.403533,-122.116227,"(37.403533,-122.116227)"
Satura Cakes,"200 Main St,Los Altos, Ca 94022","200 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,74,37.379001,-122.11595,"(37.379001,-122.11595)"
Pompeii,"100 State St ,Los Altos, Ca 94022","100 STATE ST ,LOS ALTOS, CA 94022",94022,Pass,96,37.380241,-122.115661,"(37.380241,-122.115661)"
Walgreens,"303 2Nd St ,Los Altos, Ca 94022","303 2ND ST ,LOS ALTOS, CA 94022",94022,Pass,100,37.377492,-122.115656,"(37.377492,-122.115656)"
State Of Mind Public House & Pizzeria,"101 Plaza North ,Los Altos, Ca 94022","101 PLAZA NORTH ,LOS ALTOS, CA 94022",94022,Pass,95,37.380328,-122.115629,"(37.380328,-122.115629)"
Gourmet Works,"205 Main St ,Los Altos, Ca 94022","205 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,100,37.378683,-122.115623,"(37.378683,-122.115623)"
Round Table Pizza #2,"399 1St St,Los Altos, Ca 94022","399 1ST ST,LOS ALTOS, CA 94022",94022,Pass,94,37.375474,-122.115582,"(37.375474,-122.115582)"
Casa Lupe Mexican Restaurant,"185 Main St,Los Altos, Ca 94022","185 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,98,37.37884,-122.115317,"(37.37884,-122.115317)"
Morsey'S Farmhouse,"134 Main St,Los Altos, Ca 94022","134 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,86,37.379826,-122.115135,"(37.379826,-122.115135)"
Akane Japanese Restaurant,"250 3Rd St ,Los Altos, Ca 94022","250 3RD ST ,LOS ALTOS, CA 94022",94022,Pass,91,37.377825,-122.11504,"(37.377825,-122.11504)"
Lisa'S Tea Treasures,"167 Main St,Los Altos, Ca 94022","167 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,97,37.378987,-122.114966,"(37.378987,-122.114966)"
Dittmer'S Gourmet Meats & Wurst-Han,"4540 El Camino Real,Los Altos, Ca 94022","4540 EL CAMINO REAL,LOS ALTOS, CA 94022",94022,Pass,87,37.401546,-122.114954,"(37.401546,-122.114954)"
Los Altos Grill,"233 3Rd St,Los Altos, Ca 94022","233 3RD ST,LOS ALTOS, CA 94022",94022,Pass,96,37.378185,-122.114783,"(37.378185,-122.114783)"
Lulu'S On Main Street,"163 Main St ,Los Altos, Ca 94022","163 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,94,37.379191,-122.114781,"(37.379191,-122.114781)"
Stanford Patc,"2445 Faber Pl,Palo Alto, Ca 94303","2445 FABER PL,PALO ALTO, CA 94303",94303,Pass,100,37.450672,-122.114778,"(37.450672,-122.114778)"
T4,"131 Main St,Los Altos, Ca 94022","131 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,100,37.379841,-122.114656,"(37.379841,-122.114656)"
Red Berry Coffee Bar,"145 Main St,Los Altos, Ca 94022","145 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,95,37.379498,-122.114612,"(37.379498,-122.114612)"
Arco Am/ Pm #83187,"988 N San Antonio Rd,Los Altos, Ca 94022","988 N SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,98,37.399811,-122.1146,"(37.399811,-122.1146)"
The Original Pancake House,"420 S San Antonio Rd ,Los Altos, Ca 94022","420 S SAN ANTONIO RD ,LOS ALTOS, CA 94022",94022,Pass,77,37.375044,-122.114579,"(37.375044,-122.114579)"
Italian Deli,"139 Main St ,Los Altos, Ca 94022","139 MAIN ST ,LOS ALTOS, CA 94022",94022,Pass,97,37.379655,-122.114577,"(37.379655,-122.114577)"
Los Altos 76-Food,"330 S San Antonio Rd,Los Altos, Ca 94022","330 S SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,97,37.376952,-122.114571,"(37.376952,-122.114571)"
Spot-A-Pizza Place,"133 Main St,Los Altos, Ca 94022","133 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,87,37.37982,-122.114557,"(37.37982,-122.114557)"
Florentine Restaurant & Pasta Ma,"4546 El Camino Real ,Los Altos, Ca 94022","4546 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,61,37.401233,-122.114502,"(37.401233,-122.114502)"
De Martini Orchard,"66 N San Antonio Rd,Los Altos, Ca 94022","66 N SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,84,37.382752,-122.114493,"(37.382752,-122.114493)"
Cvs\Pharmacy #9684,"2630 W El Camino Real ,Mountain View, Ca 94040","2630 W EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,90,37.402357,-122.114414,"(37.402357,-122.114414)"
Palo Verde School,"3450 Louis Rd ,Palo Alto, Ca 94303","3450 LOUIS RD ,PALO ALTO, CA 94303",94303,Pass,100,37.430863,-122.114314,"(37.430863,-122.114314)"
Enchante Boutique Hotel,"1 Main St,Los Altos, Ca 94022","1 MAIN ST,LOS ALTOS, CA 94022",94022,Pass,92,37.381479,-122.1142,"(37.381479,-122.1142)"
Hoover School - Food Service,"445 E Charleston Rd ,Palo Alto, Ca 94306","445 E CHARLESTON RD ,PALO ALTO, CA 94306",94306,Pass,97,37.418782,-122.114018,"(37.418782,-122.114018)"
More Flavor! Los Altos,"991 N San Antonio Rd,Los Altos, Ca 94022","991 N SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,97,37.400059,-122.113975,"(37.400059,-122.113975)"
Esther'S German Bakery,"987 N San Antonio Rd,Los Altos, Ca 94022","987 N SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,90,37.39996,-122.11396,"(37.39996,-122.11396)"
Estrellita Restaurant,"971 N San Antonio Rd,Los Altos, Ca 94022","971 N SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,82,37.39979,-122.113959,"(37.39979,-122.113959)"
Los Altos Library,"13 S San Antonio Rd,Los Altos, Ca 94022","13 S SAN ANTONIO RD,LOS ALTOS, CA 94022",94022,Pass,100,37.38098,-122.113927,"(37.38098,-122.113927)"
Armadillo Willy'S Bbq & Cafe,"1031 N San Antonio Rd ,Los Altos, Ca 94022","1031 N SAN ANTONIO RD ,LOS ALTOS, CA 94022",94022,Pass,87,37.40038,-122.11381,"(37.40038,-122.11381)"
La Salsa Fresh Mexican Grill,"660 S San Antonio Rd A,Mountain View, Ca 94040","660 S SAN ANTONIO RD A,MOUNTAIN VIEW, CA 94040",94040,Pass,72,37.402123,-122.113691,"(37.402123,-122.113691)"
Chef Chu'S Mandarin Kitchen,"1067 N San Antonio Rd ,Los Altos, Ca 94022","1067 N SAN ANTONIO RD ,LOS ALTOS, CA 94022",94022,Pass,70,37.400596,-122.113657,"(37.400596,-122.113657)"
Cold Stone Creamery,"636 San Antonio Rd,Mountain View, Ca 94040","636 SAN ANTONIO RD,MOUNTAIN VIEW, CA 94040",94040,Pass,86,37.402579,-122.113651,"(37.402579,-122.113651)"
Stevenson House - La Comida Senior Nutrition Program,"455 E Charleston Rd ,Palo Alto, Ca 94306","455 E CHARLESTON RD ,PALO ALTO, CA 94306",94306,Pass,88,37.419206,-122.113511,"(37.419206,-122.113511)"
Harold'S Rack O' Ribs,"2690 El Camino Real ,Mountain View, Ca 94040","2690 EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,93,37.401443,-122.113453,"(37.401443,-122.113453)"
Lady M Confections,"4598 El Camino Real ,Los Altos, Ca 94022","4598 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,100,37.400622,-122.113252,"(37.400622,-122.113252)"
Ada'S Cafe,"3700 Middlefield Rd,Palo Alto, Ca 94303","3700 MIDDLEFIELD RD,PALO ALTO, CA 94303",94303,Pass,88,37.422349,-122.112801,"(37.422349,-122.112801)"
Mizu Sushi Bar & Grill,"2590 W El Camino Real Ste 13,Mountain View, Ca 94040","2590 W EL CAMINO REAL STE 13,MOUNTAIN VIEW, CA 94040",94040,Pass,79,37.400901,-122.112385,"(37.400901,-122.112385)"
St-Sigma Chi Fraternity Alpha One,"550 Lasuen St ,Stanford, Ca 94305","550 LASUEN ST ,STANFORD, CA 94305",94305,Pass,97,37.373127,-122.112299,"(37.373127,-122.112299)"
Safeway  #2948   Deli,"645 San Antonio Rd,Mountain View, Ca 94040","645 SAN ANTONIO RD,MOUNTAIN VIEW, CA 94040",94040,Pass,84,37.401585,-122.11228,"(37.401585,-122.11228)"
St-Storey House,"544 Lasuen St ,Stanford, Ca 94305","544 LASUEN ST ,STANFORD, CA 94305",94305,Pass,92,37.373266,-122.112181,"(37.373266,-122.112181)"
Bevmo! #009,"4700 El Camino Real,Los Altos, Ca 94022","4700 EL CAMINO REAL,LOS ALTOS, CA 94022",94022,Pass,98,37.400027,-122.112156,"(37.400027,-122.112156)"
Coupa Cafe Colonnade,"4748 El Camino Real,Los Altos, Ca 94022","4748 EL CAMINO REAL,LOS ALTOS, CA 94022",94022,Pass,95,37.400003,-122.111786,"(37.400003,-122.111786)"
China Wok Restaurant,"2633 California St ,Mountain View, Ca 94040","2633 CALIFORNIA ST ,MOUNTAIN VIEW, CA 94040",94040,Pass,76,37.406073,-122.111705,"(37.406073,-122.111705)"
St-Muwekma-Tah-Ruk House,"543 Lasuen St ,Stanford, Ca 94305","543 LASUEN ST ,STANFORD, CA 94305",94305,Pass,98,37.373185,-122.111667,"(37.373185,-122.111667)"
Challenger Middlefield,"3880 Middlefield Rd ,Palo Alto, Ca 94303","3880 MIDDLEFIELD RD ,PALO ALTO, CA 94303",94303,Pass,98,37.420189,-122.11159,"(37.420189,-122.11159)"
San Antonio Valero,"334 San Antonio Rd ,Mountain View, Ca 94040","334 SAN ANTONIO RD ,MOUNTAIN VIEW, CA 94040",94040,Pass,95,37.405776,-122.111521,"(37.405776,-122.111521)"
7-Eleven 2366-14333E,"2640 California St ,Mountain View, Ca 94040","2640 CALIFORNIA ST ,MOUNTAIN VIEW, CA 94040",94040,Pass,83,37.40668,-122.111491,"(37.40668,-122.111491)"
Dong Lai Shun,"545 San Antonio Rd Ste 32,Mountain View, Ca 94040","545 SAN ANTONIO RD STE 32,MOUNTAIN VIEW, CA 94040",94040,Pass,59,37.402822,-122.111456,"(37.402822,-122.111456)"
St-Columbae House,"549 Lasuen ,Stanford, Ca 94305","549 LASUEN ,STANFORD, CA 94305",94305,Pass,87,37.37324,-122.111455,"(37.37324,-122.111455)"
Abundant Air Cafe,"1901 Embarcadero Rd 103,Palo Alto, Ca 94303","1901 EMBARCADERO RD 103,PALO ALTO, CA 94303",94303,Pass,44,37.459899,-122.111373,"(37.459899,-122.111373)"
Vitamin Shoppe,"4756 El Camino Real ,Los Altos, Ca 94022","4756 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,98,37.399644,-122.111347,"(37.399644,-122.111347)"
401 Sa 5Th Fl Mk,"401 San Antonio Rd,Mountain View, Ca 94040","401 SAN ANTONIO RD,MOUNTAIN VIEW, CA 94040",94040,Pass,92,37.404041,-122.111229,"(37.404041,-122.111229)"
Pho Avenue,"2500 W El Camino Real B,Mountain View, Ca 94040","2500 W EL CAMINO REAL B,MOUNTAIN VIEW, CA 94040",94040,Pass,90,37.399977,-122.111118,"(37.399977,-122.111118)"
Gen Korean Bbq House,"2540 W El Camino Real,Mountain View, Ca 94043","2540 W EL CAMINO REAL,MOUNTAIN VIEW, CA 94043",94043,Pass,92,37.400377,-122.110997,"(37.400377,-122.110997)"
Chili'S Restaurant #501,"2560 W El Camino Real ,Mountain View, Ca 94040","2560 W EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,85,37.401082,-122.110902,"(37.401082,-122.110902)"
Ww 391 Sa 3Rd Fl Mk,"391 San Antonio Rd,Mountain View, Ca 94040","391 SAN ANTONIO RD,MOUNTAIN VIEW, CA 94040",94040,Pass,88,37.404893,-122.110792,"(37.404893,-122.110792)"
Trader Joe'S #81,"590 Showers Dr ,Mountain View, Ca 94040","590 SHOWERS DR ,MOUNTAIN VIEW, CA 94040",94040,Pass,96,37.402103,-122.110738,"(37.402103,-122.110738)"
Genji Sushi Lat @ Whole Foods Market,"4800 El Camino Real ,Los Altos, Ca 94022","4800 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,84,37.399137,-122.110622,"(37.399137,-122.110622)"
Peet'S Coffee & Tea #111,"3904 Middlefield Rd ,Palo Alto, Ca 94303","3904 MIDDLEFIELD RD ,PALO ALTO, CA 94303",94303,Pass,90,37.419159,-122.110596,"(37.419159,-122.110596)"
General Nutrition Center Store,"2510 W El Camino Real 2,Mountain View, Ca 94040","2510 W EL CAMINO REAL 2,MOUNTAIN VIEW, CA 94040",94040,Pass,98,37.400026,-122.110325,"(37.400026,-122.110325)"
The Girls' Middle School,"3400 W Bayshore Rd,Palo Alto, Ca 94043","3400 W BAYSHORE RD,PALO ALTO, CA 94043",94043,Pass,98,37.435497,-122.109933,"(37.435497,-122.109933)"
Piazza'S Fine Foods Grocery,"3922 Middlefield Rd ,Palo Alto, Ca 94303","3922 MIDDLEFIELD RD ,PALO ALTO, CA 94303",94303,Pass,69,37.418837,-122.109911,"(37.418837,-122.109911)"
Showplace Icon Main Kitchen,"2575 California St 601,Mountain View, Ca 94040","2575 CALIFORNIA ST 601,MOUNTAIN VIEW, CA 94040",94040,Pass,92,37.404926,-122.109879,"(37.404926,-122.109879)"
See'S Candies #64,"4844 El Camino Real ,Los Altos, Ca 94022","4844 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,100,37.398748,-122.109805,"(37.398748,-122.109805)"
24 Hour Fitness #513,"550 Showers Dr ,Mountain View, Ca 94040","550 SHOWERS DR ,MOUNTAIN VIEW, CA 94040",94040,Pass,100,37.402593,-122.109732,"(37.402593,-122.109732)"
Artisan Wine Shop,"2482 W El Camino Real ,Mountain View, Ca 94040","2482 W EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,98,37.399346,-122.10926,"(37.399346,-122.10926)"
Mcdonald'S #16336-Walmart,"600 Showers Dr ,Mountain View, Ca 94040","600 SHOWERS DR ,MOUNTAIN VIEW, CA 94040",94040,Pass,91,37.400561,-122.109211,"(37.400561,-122.109211)"
Jack In The Box #421,"4896 El Camino Real ,Los Altos, Ca 94022","4896 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,98,37.398267,-122.108897,"(37.398267,-122.108897)"
Veggie Garden,"2464 W El Camino Real C,Mountain View, Ca 94040","2464 W EL CAMINO REAL C,MOUNTAIN VIEW, CA 94040",94040,Pass,80,37.39918,-122.108516,"(37.39918,-122.108516)"
24 Hour Fitness-Ltd Fd,"2535 California St ,Mountain View, Ca 94040","2535 CALIFORNIA ST ,MOUNTAIN VIEW, CA 94040",94040,Pass,97,37.40373,-122.108482,"(37.40373,-122.108482)"
Luu Noodle,"520 Showers Dr ,Mountain View, Ca 94040","520 SHOWERS DR ,MOUNTAIN VIEW, CA 94040",94040,Pass,82,37.402976,-122.108444,"(37.402976,-122.108444)"
Los Altos Culinary Academy Rm 604,"201 Almond Av,Los Altos, Ca 94022","201 ALMOND AV,LOS ALTOS, CA 94022",94022,Pass,95,37.386303,-122.10816,"(37.386303,-122.10816)"
Cubberley Senior Friendship Day Snp Lunch Program,"4000 Middlefield Rd,Palo Alto, Ca 94303","4000 MIDDLEFIELD RD,PALO ALTO, CA 94303",94303,Pass,100,37.416841,-122.108067,"(37.416841,-122.108067)"
Kohl'S #1388,"350 Showers Dr,Mountain View, Ca 94040","350 SHOWERS DR,MOUNTAIN VIEW, CA 94040",94040,Pass,100,37.403254,-122.107905,"(37.403254,-122.107905)"
Covington School,"205 Covington Rd ,Los Altos, Ca 94024","205 COVINGTON RD ,LOS ALTOS, CA 94024",94024,Pass,100,37.370774,-122.107605,"(37.370774,-122.107605)"
Hunan Home'S Express,"530 Showers Dr Ste 8,Mountain View, Ca 94040","530 SHOWERS DR STE 8,MOUNTAIN VIEW, CA 94040",94040,Pass,80,37.402149,-122.107521,"(37.402149,-122.107521)"
Amber India Restaurant,"4926 El Camino Real ,Los Altos, Ca 94022","4926 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,91,37.39767,-122.107505,"(37.39767,-122.107505)"
Chilly And Munch,"2101 Showers Dr ,Mountain View, Ca 94040","2101 SHOWERS DR ,MOUNTAIN VIEW, CA 94040",94040,Pass,90,37.406691,-122.107091,"(37.406691,-122.107091)"
Pearl Cafe,"506A Showers Dr,Mountain View, Ca 94040","506A SHOWERS DR,MOUNTAIN VIEW, CA 94040",94040,Pass,84,37.403017,-122.106602,"(37.403017,-122.106602)"
Super Tacos El Conrro,"2512 California St Ste 2530,Mountain View, Ca 94040","2512 CALIFORNIA ST STE 2530,MOUNTAIN VIEW, CA 94040",94040,Pass,88,37.403975,-122.106389,"(37.403975,-122.106389)"
Pinewood School - Middle Campus Kitchen,"327 Fremont Av ,Los Altos, Ca 94022","327 FREMONT AV ,LOS ALTOS, CA 94022",94022,Pass,92,37.367736,-122.106191,"(37.367736,-122.106191)"
Target Store #T322,"555 Showers Dr,Mountain View, Ca 94040","555 SHOWERS DR,MOUNTAIN VIEW, CA 94040",94040,Pass,93,37.40078,-122.106048,"(37.40078,-122.106048)"
Mountain View Inn,"2300 El Camino Real,Mountain View, Ca 94040","2300 EL CAMINO REAL,MOUNTAIN VIEW, CA 94040",94040,Pass,97,37.397788,-122.10593,"(37.397788,-122.10593)"
Liquor & Food Mart,"2339 California St ,Mountain View, Ca 94040","2339 CALIFORNIA ST ,MOUNTAIN VIEW, CA 94040",94040,Pass,97,37.402232,-122.105903,"(37.402232,-122.105903)"
Carl'S Jr #7033,"5000 El Camino Real ,Los Altos, Ca 94022","5000 EL CAMINO REAL ,LOS ALTOS, CA 94022",94022,Pass,92,37.396917,-122.105541,"(37.396917,-122.105541)"
Google Rails- Market Place Cafe,"100 Mayfield Av,Mountain View, Ca 94043","100 MAYFIELD AV,MOUNTAIN VIEW, CA 94043",94043,Pass,94,37.407175,-122.104646,"(37.407175,-122.104646)"
Kehillah Jewish High School,"3900 Fabian Wy ,Palo Alto, Ca 94303","3900 FABIAN WY ,PALO ALTO, CA 94303",94303,Pass,98,37.424397,-122.104606,"(37.424397,-122.104606)"
Gideon Hausner Jewish Day School - Bldg 470,"450 San Antonio Rd,Palo Alto, Ca 94306","450 SAN ANTONIO RD,PALO ALTO, CA 94306",94306,Pass,91,37.413289,-122.10412,"(37.413289,-122.10412)"
Lunchstop Ssl,"3825 Fabian Wy,Palo Alto, Ca 94303","3825 FABIAN WY,PALO ALTO, CA 94303",94303,Pass,82,37.427598,-122.10381,"(37.427598,-122.10381)"
Palo Alto Arco,"699 San Antonio Rd ,Palo Alto, Ca 94306","699 SAN ANTONIO RD ,PALO ALTO, CA 94306",94306,Pass,96,37.416177,-122.103437,"(37.416177,-122.103437)"
Nourish Cafe,"3921 Fabian Wy ,Palo Alto, Ca 94303","3921 FABIAN WY ,PALO ALTO, CA 94303",94303,Pass,87,37.423557,-122.103284,"(37.423557,-122.103284)"
The Wetlands,"3801 E Bayshore Rd,Palo Alto, Ca 94303","3801 E BAYSHORE RD,PALO ALTO, CA 94303",94303,Pass,86,37.43378,-122.103107,"(37.43378,-122.103107)"
Epicurean@Pinewood School,"477 Fremont Av ,Los Altos, Ca 94024","477 FREMONT AV ,LOS ALTOS, CA 94024",94024,Pass,100,37.364892,-122.102716,"(37.364892,-122.102716)"
Wine Press Liquors The,"2100 W El Camino Real ,Mountain View, Ca 94040","2100 W EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,100,37.396126,-122.102641,"(37.396126,-122.102641)"
Moldaw Family Residences @ 899 Charleston,"899 E Charleston Rd ,Palo Alto, Ca 94303","899 E CHARLESTON RD ,PALO ALTO, CA 94303",94303,Pass,92,37.422892,-122.102471,"(37.422892,-122.102471)"
Dohatsuten,"799 San Antonio Rd,Palo Alto, Ca 94303","799 SAN ANTONIO RD,PALO ALTO, CA 94303",94303,Pass,91,37.420311,-122.102349,"(37.420311,-122.102349)"
Crossroads World Market,"720 San Antonio Rd ,Palo Alto, Ca 94303","720 SAN ANTONIO RD ,PALO ALTO, CA 94303",94303,Pass,80,37.416949,-122.102342,"(37.416949,-122.102342)"
Palo Alto Gas & Smog,"835 San Antonio Rd ,Palo Alto, Ca 94303","835 SAN ANTONIO RD ,PALO ALTO, CA 94303",94303,Pass,98,37.421617,-122.10227,"(37.421617,-122.10227)"
Google Mk At 1129 San Antonio Rd,"1129 San Antonio Rd,Palo Alto, Ca 94043","1129 SAN ANTONIO RD,PALO ALTO, CA 94043",94043,Pass,97,37.432622,-122.101807,"(37.432622,-122.101807)"
Five Guys Burgers & Fries,"2098 El Camino Real ,Mountain View, Ca 94040","2098 EL CAMINO REAL ,MOUNTAIN VIEW, CA 94040",94040,Pass,97,37.395959,-122.101738,"(37.395959,-122.101738)"
Smog Pros Arco #1326,"840 San Antonio Rd,Palo Alto, Ca 94303","840 SAN ANTONIO RD,PALO ALTO, CA 94303",94303,Pass,100,37.421786,-122.101407,"(37.421786,-122.101407)"
Almond Elementary School,"550 Almond Av ,Los Altos, Ca 94022","550 ALMOND AV ,LOS ALTOS, CA 94022",94022,Pass,100,37.383583,-122.101289,"(37.383583,-122.101289)"
Fred'S Place,"2534 Old Middlefield Wy ,Mountain View, Ca 94043","2534 OLD MIDDLEFIELD WY ,MOUNTAIN VIEW, CA 94043",94043,Pass,80,37.415643,-122.101066,"(37.415643,-122.101066)"
7-Eleven Store #2234-16687C,"615 S Rengstorff Av ,Mountain View, Ca 940402105","615 S RENGSTORFF AV ,MOUNTAIN VIEW, CA 940402105",2105,Pass,84,37.396342,-122.100933,"(37.396342,-122.100933)"
Taco Bell #028833,"910 E Charleston Rd ,Palo Alto, Ca 94306","910 E CHARLESTON RD ,PALO ALTO, CA 94306",94306,Pass,90,37.421559,-122.100884,"(37.421559,-122.100884)"
Anjuman-E-Jamali,"998 San Antonio Rd,Palo Alto, Ca 94303","998 SAN ANTONIO RD,PALO ALTO, CA 94303",94303,Pass,91,37.425257,-122.100664,"(37.425257,-122.100664)"
Kfc #223,"2609 E Charleston Rd ,Mountain View, Ca 94043","2609 E CHARLESTON RD ,MOUNTAIN VIEW, CA 94043",94043,Pass,85,37.421129,-122.10061,"(37.421129,-122.10061)"
Los Altos Christian School,"625 Magdalena Av ,Los Altos, Ca 94024","625 MAGDALENA AV ,LOS ALTOS, CA 94024",94024,Pass,100,37.359725,-122.100426,"(37.359725,-122.100426)"
Milk Pail Market Warehouse,"2560 Wyandotte St,Mountain View, Ca 94040","2560 WYANDOTTE ST,MOUNTAIN VIEW, CA 94040",94040,Pass,100,37.417662,-122.100401,"(37.417662,-122.100401)"
Plaza Deli Cafe,"2680 Bayshore Py ,Mountain View, Ca 94043","2680 BAYSHORE PY ,MOUNTAIN VIEW, CA 94043",94043,Pass,81,37.429234,-122.10001,"(37.429234,-122.10001)"
